📍 See this list on Google Maps,,,,Donate to keep MALAN running! ,,,,,,,
,,,"This is not an exhaustive list. Info will be updated as we are able to. Please reach out to the organizers directly for clarifying questions. If you have additional resources, please add them to this MALAN Instagram post and we will add it to this list! https://www.instagram.com/p/DEjhEgiRE9y/",,,,,,,,
Burbank,1/10 3:03 PM,IATSE Disaster Response Team,"Shelter, Services","2520 West Olive Avenue
Burbank, CA 91505",,,,Financial Grants ,"Local 80 has opened their stage at 2520 West Olive Avenue, Burbank, CA 91505 as a relief shelter. If you are affected by the local fires, please call Local 80 (818.526.0700) for additional information.
Call Local 80 at 818-526-0700 if you're affected by local fires",,
Burbank,1/10 3:14 PM,Burbank Armenian Center,"Shelter, Information","75 E Santa Anita Ave, Burbank, CA 91502",,Call Artin at 818-486-0668 for more info,"Acception Donations: Bottled Wated, Blankets, !st aid kits, Soap, Shampoo, Deodorant,saline solution, toothpaste, toothbrush, hand sanitizer, diapers, formula, wet wipes, paper towels, portable chargers, pet food, fiminine Hygiene products, new or lightly used clothes. Drop Off: Jivalagian Youth Center 2242 E Foothills Pasadena, CA 91107",,Instagram ,,
Chino,1/10 3:16 PM,Chino Hills Animal Hospital,Animal Boarding,"3415 Chino Ave, Chino, California 91710",Vaccinated small dogs & cats,,, free accomidations for small dogs & cats (must be vaccinated),"909.591.1805 / offering free accomidations for pets
Opens at 6:30am
**Call before you go**",Instagram,
City of Industry,1/10 @3:26pm,Industry Hills Expo Center Stables,Animal Boarding,"16200 Temple Ave
City of Industry, CA 91744",Horses,,,horse boarding - 24 hour security & drop off available,"If you have animals in need of shelter, please contact Cory Moss at the Expo Center at (626) 216-6428.",Instagram,
Covina,,Pie Trap Pizza,Free Prepared Meals,"720 Arrow Hwy Suite A, Covina, CA 91722",,,,Free pizza for evacuees and people in need. Call (626) 541-0051 to coordinate,,,
Crenshaw,01/09/25 10:25A,It's Bigger Than Us,"Free Items, Donation Drives"," 4308 Crenshaw Blvd  Los Angeles, CA 90008",,"Volunteers willing to help sort and distribute donated items.  Fill out Form in order to be able to volunteer 

","Essential items such as water, shelf-stable food, masks, hygiene items, clothes, blankets.",,"In response to the devastating fires impacting LA County, IBTU headquarters is being mobilized as a distribution hub in partnership with Perfect Hydration to support relief efforts.

Here’s how we’re assisting:
1. Pick-Up: First responders and organizations can stop by IBTU headquarters to pick up pallets of water.
2. Delivery: Volunteers will be available to deliver water to locations and individuals in need.
We’re starting these efforts soon, so please let us know how we can help your team or community.
Pick-Up Location: 4308 Crenshaw Blvd Los Angeles, CA 90008
If you or your organization needs water or additional support, feel free to reply to this message or email at info@itsbiggerthanusla.org ",,
Crenshaw,01/10/25 6:40 PM,South LA Cafe,"Donation Drives, Distribution Hub, Free Items","1700 Browning Blvd, Los Angeles, CA 90062",,"Sat, Jan 11: Volunteers needed from 8am-4pm to sort, pack, and more","food, water, masks, clothes, diapers, personal hygiene products, dog food ","food, socks, masks, water, supplies and much, much more","We will be distributing and taking volunteers Jan 11 12-4pm at the Western location, 1700 Browning Blvd, 90062",Instagram,
El Monte,,People's Cafe LA,"Free Items, Donation Drives","2315 Mountain View Rd
El Monte, CA 91733",,,,,"Tickets 8am distribution 10:30am, donation $5",Instagram,
Glendale,,Junior High LA,"Free Items, Shelter","603 S Brand Blvd, Glendale, CA 91204",,,masks (updated 1/9 5:47pm),"We're currently accepting masks, snacks, and sanitary/menstrual product donations. We're currently trying to figure out how we can ditribute hot food to those who are still in the neighborhood/feeling food insecure/etc through the weekend. We'' be here until 6pm every day this weekend. ",,,
Greater LA Area,,Compton Cowboys,Horse Hauling,,Horses,,,,DM for horse hauling emergecy assistance,Instagram,
Greater LA Area,,If Not Now - Free rides to evacuation centers,Free Items,DM on instagram to coordinate or fill out Google form,,DM or fill out this google form to volunteer / request a ride,,,DM or fill out this google form to volunteer,Instagram,
Greater LA Area,,Pico Rivera Sports Arena,Animal Boarding,"11003 Sports Arena Dr, Pico Rivera, CA 90601",horses and livestock,,,free boarding for horse and large livestock owners in areas impacted by the area fires,,Instagram,
Greater LA Area,,Hatch Ranch,"Animal Boarding, Shelter","Tehachapi, CA",large and small,,,"Shelter and space for large animars in coral, stables, and turnouts DM Ashley @hatch_ranch on instagram",,,
Greater LA Area,,Whittier Dog Club,"Animal Boarding, Donation Drives","12217 Philadephia Street, Whittier, CA 90601",Dog boarding,,"Fresh sealed dog food, treats, blankets, towels, dog bowls, toys, leash’s and collars.
(updated 01/09/25 10:25A)",,"Dog boarding and emergency rescue. DM @whittierdogclub

We will be donating all items to our local rescue and using for the dogs we rescue.",Instagram,
Greater LA Area,,Best Friends Animal Society,Animal Boarding,,,Looking for volunteers to help board animals,donations by purchasing items on their wishlist,,"If you can help board animals, email FosterLA@bestfriends.org",Instagram,
Greater LA Area,,Marilynn Ebrecht,Animal Boarding,Call Marilynn at 818-231-2379,Horses,,,animal hauling,"Horse trail help offered: ""Two truck LA and trailer combos ready to roll. Both trailers 3 horse slants w experienced drivers. 818-231-2379""",,
Huntington Beach,,Calico Fish House,Free Items,"16600 Pacific Coast Highway
Huntington Beach, CA 92649",,DM @ChefGruel on Twitter to coordinate meal or supply deliveries ,,Free meals,,Twitter,
Koreatown,,Anderson Munger Family YMCA,"Services, Donation Drives","4301 W. Third Street, Los Angeles, 90020",,,"water, micoraves, protien bars, blankets, new underwear and socks, hygine products, noodles, chips, joice, kids toys, fruit, single use utensils, lunch paper bags, zip lock bags, pet food, empty boxes/bins, gift cards to walmart, target, grocery etc. (updated (1/9) 5:17pm)",CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,"Assemblymember Mark Gonzalez and his team will be onsite at the Anderson Munger Family YMCA to provide direct support to constituents, ensuring access to critical resources and government services. Assistance available with essential services, including replacing government documents such as Driver’s licenses, Medi-Cal cards, CalFresh cards, and more. No appointment is necessary! 

For additional information, please contact Assemblymember Gonzalez’s office at (213) 620-4646.",YMCA LA,
Koreatown,,K-Town YMCA,"Shelter, Free Items, Distribution Hub","433 S Vermont Ave, Los Angeles, CA 90020",,,"ziplock gallon bags, new underwear, socks, hygiene, soup, water, markers, pet food, and tape

updated 01/09/25 6:30p",CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,open until 10,,
Pasadena,1/10/25 10:20 AM,Pasadena Civic Ballet,Distribution Hub,"253 N Vinedo Ave, Pasadena, California 91107",,,"Drop-off open Sunday, 1/12 from 1-4PM

* Clothing: For all ages - shirts, pants, sweatshirts, new underwear, new socks
* Ballet clothes: pink tights and black leotards
* Hygiene Products: Soap, shampoo, conditioner, deodorant
* Essential food and water: Bottled water, non-perishable snacks (granola bars, crackers, etc)
* New Blankets & Bedding: Blankets, pillows, sleeping bags, and towels
* Comfort & Entertainment: Books, puzzles, playing cards, games.",,"We are gathering essential items for those who are affected. If you would like to help, please drop off supplies at the studio on Sunday, January 12, from 1pm to 4pm.

We will organize your donations and distribute to families in need.

If you prefer to make a monetary donation in lieu of dropping items off at the studio, please use the link below. We will then distribute the funds donated here to the PCB families affected. (Link in Bio)",Instagram Post,
Laguna Hilla,,Pasture Space ,Animal Boarding,Laguna Hills ,Horses goats etc,Call 949-371-1736,,"Providing pasture space for horses, goats, etc",,,
Lawndale,,South Bay Rodent Rescue,Animal Boarding,Lawndale,Rodent boarding,,,,call 424-571-9530 for rodent boarding,,
Long Beach,,7th Street Collective,Distribution Hub,"811 E. 7th Street, Long Beach, CA, 90813",,"Volunteers NEEDED: for emergency response kit making, supply runs, drivers to make drops to Bike Oven (updated 1/9/25 1:14PM)

","Supplies needed: water, masks, first aid, electrolytes, burn cream, etc. AND blankets, pillows, other overnight necessities.  
(updated 01/09/25 10:25A) DONATIONS: Venmo @seventhstcollective to pay for gas and supply runs! (Updated 1/9/25 1:15PM)",,"Thursday 1/9 9am-3 pm, 6:30-8:30pm. ",Instagram,
Los Angeles,,Uber,Services,All over,,,,Free rides for evacuees up to $40. Code: WILDFIRE25,,,
Los Angeles,,Mac Park Unhoused Outreach,Distribution Hub,tinyurl.com/unhousedinLA,,,"N95 Masks, any shelf stable food",,,Instagram,
Silverlake,1/10 8:30 PM,LA Dream Center Emergency Shelter,"Shelter, Distribution Hub, Free Items","2301 Bellevue Avenue
Los Angeles, CA 90026",Pets allowed,"A few current volunteer needs are passing out donations, directing traffic, sorting clothes, prepping meals. Email volunteers@dreamcenter.org","Socks, underwear, toiletries, baby wipes, non-perishable food donations, baby formulas, laundry detergent, canned goods, electrolyte drinks, individually wrapped snacks, individual boxes of cereal, large black trash bags, to-go boxes

NOT accepting clothing donations",,UPDATED 01/08 1:50p: Lots of space for more people,Instagram,
Los Angeles,,Belle's Boarding,Animal Boarding,"1353 S Genesee Ave, Los Angeles, CA 90019",Small animals,We need volunteers with vehicles who are able to pickup/dropoff animals at various rescues for safe harbor.,Monetary donations to help those most in need,,"If you need assistance, please contact the team at (323) 627-3821. If the lines are busy, we kindly ask that you try again or leave a voicemail.

As cell service is also limited, you can also request support by sending a DM to @BellesBoarding",Instagram,
Los Angeles,1/10 3:00 PM,Re/Creation Cafe,Wifi/Charging,"4500 Washington Boulevard
Los Angeles, CA 90016",,,,Offering a safe place to shelter and work,,Instagram,
Los Angeles,1/10 3:00 PM,Lagartijas Climbing Crú: Gear Drive,"Free Items, Distribution Hub",,,,"Sleeping bags, sleeping pads, dehydrated meals, etc. ","Clothing, sleeping bags & pads, blankets, food, toiletries, much more.",Folks who need gear or shelter can check: Gear Drive Fire Support - Lagartijas,Instagram,
Los Angeles,1/10 3:00 PM,Hollywood Food Coalition,"Free Items, Distribution Hub","5939 Hollywood Blvd, Los Angeles, CA 90028",,,Drop off food and water donations between 9a-5p on 01/09 and 01/10 at 1223 Vine St. (enter at La Mirada),"Prepared hot meals.

M-Fri Dinner 6:30-8pm @ Salvation Army Campus (5939 Hollywood Blvd, Los Angeles, CA 90028)

Sat & Sun Dinner 6:30-7:30pm (on the corner of Orange and Romaine, Los Angeles, CA 90038)",Check their Instagram for the latest [HERE],Hollywood Food Coalition,
Greater LA Area,1/10 3:00 PM,Every Table ,"Free Items, Distribution Hub, Free Prepared Meals",,,,,"Free meals to first responsers
Use code: LAFIRST at checkout. In store only, max of 2 meals per customer. Ends on Sunday, Jan. 12th, 2025. First responders in uniform or proof of badge. Please note that our Cal State LA location is closed for the rest of the week due to fires.

Free food to local shelters (great resource if you are volunteering at a shelter and need food donations). ",,Instagram Post,
Silverlake,1/10 3:30 PM,Selahnhc,"Free Items, Distribution Hub","2930 Hyperion Ave, Los Angeles, CA 90027",,,"Cases of water, N95 masks, adult men's pants and shirts, brand new underwear, cold weather gear (beanies, gloves, etc), snacks","Masks, water, hygiene supplies, indoor space with an air purifier, and device charging  ",Open Sat 01/11 12:30p-3:30p - Silverlake Community Church,Instagram,
DTLA,1/10 3:30 PM,Tapestry Church,Shelter,"1521 S Hill St, Los Angeles, CA 90015",,,,"Connecting evacuees to people who can provide shelter email hello@tapestry.la
(updated 01/09/25 12p)",Tapestry LA is a safe place for anyone seeking shelter from the LA County fires. Please let us know if you are coming to church so we can be ready to open our doors for you. Email us at hello@tapestry.la,Instagram,
Woodland Hills ,1/10 3:30 PM,Canoga Park SDA Church,"Shelter, Wifi/Charging","20550 Roscoe Blvd, Winnetka, CA 91306",,,,Shelter & Power,"If you or anyone you know is in an evacuation zone and in need of shelter or you are experiencing power interruption due to the winds, we have established the following locations for shelter and power at this time.",SCC Evacuation Centers,
Glendale,1/10 3:30 PM,Glendale Filipino SDA Church,"Shelter, Wifi/Charging","310 E Chestnut St, Glendale, CA 91205",,,,Shelter & Power,"If you or anyone you know is in an evacuation zone and in need of shelter or you are experiencing power interruption due to the winds, we have established the following locations for shelter and power at this time.",SCC Evacuation Centers,
Los Angeles,1/10 3:30 PM,Normandie SDA Church,"Shelter, Wifi/Charging","12420 Normandie Ave, Los Angeles, CA 90044",,,,Shelter & Power,"If you or anyone you know is in an evacuation zone and in need of shelter or you are experiencing power interruption due to the winds, we have established the following locations for shelter and power at this time.",SCC Evacuation Centers,
Pacoima,1/10 3:30 PM,Valley Crossroads SDA Church,"Wifi/Charging, Shelter","11350 Glenoaks Blvd, Pacoima, CA 91331",,,,Shelter & Power,"If you or anyone you know is in an evacuation zone and in need of shelter or you are experiencing power interruption due to the winds, we have established the following locations for shelter and power at this time.",SCC Evacuation Centers,
Hollywood,1/10 3:30 PM,Hollywood SDA Church,"Shelter, Wifi/Charging","1711 N Van Ness Ave, Los Angeles, CA 90028",,,,"Shelter, Power & Showers","If you or anyone you know is in an evacuation zone and in need of shelter or you are experiencing power interruption due to the winds, we have established the following locations for shelter and power at this time.",SCC Evacuation Centers,
Los Angeles,1/10 3:30 PM,LA White Memorial SDA Church,"Shelter, Wifi/Charging","401 N State St, Los Angeles, CA 90033",,,,"Shelter, Power & Showers","If you or anyone you know is in an evacuation zone and in need of shelter or you are experiencing power interruption due to the winds, we have established the following locations for shelter and power at this time.",SCC Evacuation Centers,
Los Angeles,,St. Anthony's Croatian Catholic Church,Shelter,"712 N Grand Ave, Los Angeles, CA 90012",,,,Offering shelter to evacuees,,,
Los Angeles,,Planet Fitness,Shelter,All LA locations,,,,"Open to evacuated people in need of showers, wifi, safe place to sit around",,,
El Segundo,,The Grateful Dogs Clubhouse,Animal Boarding,"202 Illinois St, El Segundo, CA, 90245",Dogs,,"Clean and gently used crates, leashes, collars, dog bowls, dog food, clean blankets. NOT needed at this time: Dog beds and toys",Providing dog care/onboarding ,,Instagram,
Los Angeles,1/10 3:30 PM,Clean Air Los Angeles ,"Distribution Hub, Free Items",,,,Masks,Currently Distributing masks to fire evacuee centers and shelters. to request PPE : https://linktr.ee/cleanairla,,Linktree,
Los Angeles,,White Memorial Church ,Shelter,"401 N State St Los Angeles, CA, 90033",,,"Towels, sheets, blankets
(updated 01/09.25 12:30p)",providing shelter : ,"contact: Pastor Manny: 951-203-6132

If you or someone you know needs shelter, our doors are open.",Instagram,
Los Angeles,,Paso Robles Horse Park ,"Animal Boarding, Horse Hauling","3801 Hughes Pkwy, Paso Robles, CA, 93446",Horses,Call 805-369-1323,,Providing horse evacuation locations ,Call 805-369-1323,Instagram,
Los Angeles,,Animal Hospital Center-Sinai,Animal Boarding,"10737 Venice Blvd, Los Angeles, CA, 90034",Pets,Call 310-559-3770,,Prividing free animal boaurding *please bring ID/or residential verification*,,,
Torrance,1/10 5:30 PM,Community Loving ,"Free Items, Donation Drives",Torrance ,,Drivers to take supplies from Torrance to Pasadena (DM on Instagram @communityloving),"Over the counter creams: A&D, Calmineceptin; adult diapers; wet bed pads, plain eye drops, picot salts (sal de uvas) - on their Instagram Story (1/10 @ 5PM)","Providing hygiene kits, clothing, & kids cloth masks *Pick up in Torrance*. Email communityloving.org@gmail.com or DM on Instagram to schedule a pickup appointment.",,Instagram,
West Adams,1/10 4:30 PM,The Gathering Spot LA,Distribution Hub,"5211 W Adams Bld, Los Angeles, CA, 90016",,help distributing to local orgs and people in need,"water, blankets, clothing",,contact: dmagett@thegatheringspot.club,Instagram,
DTLA,1/10 4:30 PM,Danny Boy's Pizza,Free Prepared Meals,"330 S Hope St Suit 205, Los Angeles, CA 90071",,Reach out to them on Instagram and they'll contact you if they need a driver,,"Free pizza for evacuees, people in need, firefighters & first responders",,Instagram,
Westwood,1/10 4:30 PM,Danny Boy's Pizza,Free Prepared Meals,"10889 Lindbrook Dr, Los Angeles, CA 90024",,Reach out to them on Instagram and they'll contact you if they need a driver,,"Free pizza for evacuees, people in need, firefighters & first responders",,Instagram,
Inglewood,1/10 4:30 PM,Sunday Gravy,Free Prepared Meals,"1122 Centinela Avenue, Inglewood CA 90302",,,"Monetary donations, $20 buys one meal
Venmo: https://venmo.com/u/sundaygravy","Free meals for first responders, evacuees, and people in need. DM @sunday.gravy on Instagram to coordinate",,Instagram,
Hollywood,1/10 4:30 PM,Detroit Pizza Depot,Free Prepared Meals,"6219 Franklin Ave, Los Angeles, CA 90028",,,,"Free pizza for first responders, evacuees and people in need. ",,,
DTLA,1/10 4:30 PM,Detroit Pizza Depot,Free Prepared Meals,"358 W 38th St Unit 13, Los Angeles, CA 90037",,,,"Free pizza for first responders, evacuees and people in need. ",,,
Los Angeles,,Party Bus Group ,Transportation,"7044 Garden Grove Blvd, Garden Grove, CA 92841",,dm on insta: @partybusgroup ,,Offering free emergency evacuation transportation ,,Instagram,
Highland Park,1/10 4:45 PM,Nativo,Donation Drives,"5137 York Blvd, Los Angeles, CA 90042",,"drivers willing to drop off supplies at evacuation centers on Fri, 1/10 after 2PM","new pillows, blankets, eye masks, socks, hygiene items, children's pajamas, coloring books, crayons, small toys, pet food, training pads",,,Instagram Post,
Venice,1/10 4:45 PM,Saba Surf,"Distribution Hub, Free Items","12912 Venice Blvd.Los Angeles, CA 90066",,,"Surf gear (surfboards, wetsuits, surf accessories)","Surf gear (surfboards, wetsuits, surf accessories)",hours: 7-4 pm,Instagram,
Los Angeles,,Noel Community Organization,"Free Items, Distribution Hub",6025 S. Figueroa St. Los Angeles CA,,,"Need hygiene stuff, water, and food",Food distribution on Saturday Jan 11,"Need it delivered to Long Beach location - 3070 Santa Fe Avenue, Long Beach",,
Fairfax,1/10 4:45 PM,Brooklyn Projects,Free Items,"7427 Melrose Avenue
Los Angeles, CA 90046 ",,,,"Clothing, Shoes, Socks for evacuees and those in need",,Instagram,
Virgil Village,1/10 5:46,Bé Ù,Free Prepared Meals,"557 N Hoover St, Los Angeles, CA 90004",,,,Uyên Lê’s Virgil Village walk-up window is providing free meals to fire evacuees and first responders.,We are continuing our meals program indefinitely. ,Instagram,
DTLA,1/10 5:00 PM,Sora Craft Kitchen,Free Prepared Meals,"1109 E 12th St, Los Angeles, CA 90021",,,,providing warm soup for first responders & evacuees. Stop by or DM on Instagram to reserve,,Instagram Story,
Los Angeles,,Telefèric Barcelona,Free Prepared Meals,"11930 San Vicente Blvd.Los Angeles,California",,,,providing free meals to locals displaced by ongoing fires. Meals can be picked up anytime today until 9:15 p.m.,,https://www.latimes.com/food/list/los-angeles-restaurants-providing-food-shelter-evacuees-first-responders-fire,
Los Angeles,,Uber,"Free Items, Transportation",All over,,,,Free rides for evacuees up to $40. Code: WILDFIRE25,,,
Los Angeles,,BCB Shepherdess,Horse Hauling,,,,,DM @BCBSHEPHERDESS on IG for horse hauling needs,,,
Los Angeles,1/10 6:00 PM,The Kinn,"Wifi/Charging, Donation Drives","150 Horizon Avenue, Los Angeles, California 90291",,"help packing, distributing -- reach out to them for more info. (Instagram Story on 1/10 @ 12PM)","respirators, masks, baby supplies, prepped meals","a place to rest, work, shower. just let them know you're coming (https://thekinn.co/contact-us/)",,Instagram,
North Hollywood,1/10 6:00 PM,Celebration Nation,Donation Drives,"5623 Lankershim Blvd Ste A, North Hollywood, CA 91601",,,"water, face masks, snacks, baby food, first aid kits, toiletries, feminine products, blankets, pet supplies and food, and more.",,"January 10, 2025, between 10 AM–7 PM",Instagram,
Los Angeles,,Feed the Streets LA,"Distribution Hub, Free Prepared Meals",,,"Seeking cooks, restaurants, and catering services
(updated 01/09/25 2:45p)",,Meals for fire fighters on the ground,DM to get involved.,instagram,
Los Angeles,1/10 6:30 PM,Well Wishes for Silverlake Lounge,Donation Drives,"2906 Sunset Boulevard
Los Angeles, CA 90026",,,"ACCEPTING: New socks and underwear, baby clothes & items, women's sanitary products, pet supplies, food, supplements, water bottles, charging ports 

No longer accepting clothes (1/10 6PM)",,From 3pm onward. Follow stories for updates throughout the days.,Instagram,
