📍 See this list on Google Maps,,,Donate to keep MALAN running! ,,,,,,
"This is not an exhaustive list. Info will be updated as we are able to. Please reach out to the organizers directly for clarifying questions. If you have additional resources, please add them to this MALAN Instagram post and we will add it to this list! https://www.instagram.com/p/DEjhEgiRE9y/",,,,,,,,,
City,Name,Aid Type,Address,Animals? ,Volunteers Needs,Accepting ,Providing,Notes,Source
Los Angeles,Fiorelli Pizza,Free Prepared Meals,"1033 Abbot Kinney Blvd., Venice,California",,,,"offer free pizzas to first responders and families that have been displaced by the fires.
(updated 01/09/25 1:30p)",,https://www.latimes.com/food/list/los-angeles-restaurants-providing-food-shelter-evacuees-first-responders-fire
Los Angeles,Sonoritas Prime Tacos,Free Prepared Meals,"2004 Sawtelle Blvd.,Los Angeles, California",,,,"One free taco to first responders and displaced people, more available on a case by case basis 
(updated 01/09/25 1:30p)",01/08/25 and 01/09/25,Instagram
Los Angeles,Dudley Market,Free Prepared Meals,"9 Dudley Ave. Venice, California
",,,,Dudley Market will be open for dinner service with three air filters running and free food for first responders and those displaced by the fires.,,https://www.latimes.com/food/list/los-angeles-restaurants-providing-food-shelter-evacuees-first-responders-fire
Los Angeles,Sora Craft Kitchen,Free Prepared Meals,"1109 E 12th St., Los Angeles, California
",,,,preparing grilled chicken bowls for first responders and fire evacuees. The Mediterranean-inspired bowls can be reserved by sending a DM via Instagram or by calling the restaurant.,,https://www.latimes.com/food/list/los-angeles-restaurants-providing-food-shelter-evacuees-first-responders-fire
Los Angeles,Telefèric Barcelona,Free Prepared Meals,"11930 San Vicente Blvd.Los Angeles,California",,,,providing free meals to locals displaced by ongoing fires. Meals can be picked up anytime today until 9:15 p.m.,,https://www.latimes.com/food/list/los-angeles-restaurants-providing-food-shelter-evacuees-first-responders-fire
Los Angeles,Venice Surfing Assocaition ,"Distribution Hub, Free Items","648 Rose Ave. Venice, CA",,,"AT DONATION CAPACITY
(updated 01/09/25 1:45p)","Children's clothing, bedding, toiletries, diapers, jackets, water, batteries, and more
(updated 01/09/25 1:45p)",10a-6p,Instagram
Los Angeles,Alma's Cider,Distribution Hub,"904 Virgil Ave, Los Angeles, CA 90029",,,"Drop off essential items such as t-shirts, pants, jackets, new underwear and socks, children's clothing, MASKS!, snacks, bottled water, blankets, etc to the bar from 5pm -12 am. ",,,
Los Angeles,UCLA EVP,Free Items,Kerckhoff 300C; UCLA Campus ,,,,Masks available until supplies run out,,
Los Angeles,Uber,Free Items,All over,,,,Free rides for evacuees up to $40. Code: WILDFIRE25,,
Los Angeles,BCB Shepherdess,Horse Hauling,,,,,DM @BCBSHEPHERDESS on IG for horse hauling needs,,
Los Angeles,The Kinn,Shelter,"150 Horizon Avenue, Los Angeles, California 90291",,,,"a place to rest, work, shower
(updated 01/09/25 2:30p)",Also connecting displaced people with accommodations ,Instagram
Los Angeles,Celebration Nation,Distribution Hub,"5623 Lankershim Blvd Ste A, North Hollywood, CA 91601",,,"water, face masks, snacks, baby food, first aid kits, toiletries, feminine products, blankets, pet supplies and food, and more.
(updated 01/09/25 2:30p)",,"January 8, 2025, between NOW - 8 PM
January 9–10, 2025, between 10 AM–7 PM",Instagram
Los Angeles,Big Blue Bus,Free Items,Lincoln Boulevard and Montana Avenue in Santa Monica.,,,,free hourly transportation to the Westwood Recreation Center. The pickup location is Lincoln Boulevard and Montana Avenue in Santa Monica.,,https://x.com/SMBigBlueBus/status/1877127465396744601?mx=2
Los Angeles,"USAC General Representative1 and 2
",Free Items,"Kerkhoff Hall, 308 Westwood Plaza, Los Angeles, CA 90095",,,Accepting donations,"masks, fool & snacks, water, energy drinks, coffee, destress equipment, personal hygiene products, sunglasses, and fire safety & additional mutual aid resource information
(updated 01/09/25 2:45p)",Friday 1/10 9am-noon,Instagram
Los Angeles,Cafe Tropical,"Free Items, Wifi/Charging","2900 W Sunset Blvd Los Angeles CA, Los Angeles, CA",,,,staying open w/ coffee,,
Los Angeles,Feed the Streets,"Distribution Hub, Free Prepared Meals",,,"Seeking cooks, restaurants, and catering services
(updated 01/09/25 2:45p)",,Meals for fire fighters on the ground,DM to get involved,instagram
Los Angeles,Well Wishes for Silverlake Lounge,Distribution Hub,"2906 Sunset Boulevard
Los Angeles, CA 90026",,Does not need more volunteers,"10-20G tubs, N95 masks, 1 or 2 big air purifiers, clothes, pillows, sheets, non-perishable food, water, sanitary products, kids toys, first aid products, charges, batteries
(updated 01/09/25 2:45p)",,From 3pm onward,Instagram
Los Angeles,Materials & Applications ,Distribution Hub,"1313 Sunset Blvd, Echo Park",,,"k/n95 masks, medical supplies, hygine products, blankets, pillows, hand warmers, water, non-perishable food, per food, zipties, tarps, tents, flashlights",,"DM to schedule a drop off // stay tuned for Sat/Sun drop off windows
Thursday, Jan. 9 - NO MORE DROP OFF APPTS 
(updated 01/09/25 4:45p) ",instagram
Los Angeles,Esquina Bicycle Shop,Distribution Hub,"2228 Whittier Blvd, Los Angeles, CA 90026",,,"Collecting: masks, warm clothing, non-perishable food, first aid, pet supplies, women's sanitary products",,"Drop off at Esquina between: 12-3pm Satuday-Monday, 12-5pm Tuesday- Friday",Instagram
Los Angeles,UCLA Health ,Free Items,Call Chatura (sustainability coordinator for Community Clinic Network 310-562-3310) ,,,,"Offering PPE like face shields, N95 masks, and grippy socks",,
Los Angeles,Au Lac Restaurant DTLA,Free Prepared Meals,,,,,"Organizations seeking meals, please reach out! 
(updated 01/09/25 5p)",Cooking meals for displaced folks. Looking to partner with orgs who can help coordinate meals getting to people who need them.,Instagram
Lynwood,Iphone Repair 310,Distribution Hub,"10820 Atlantic Ave Ste 105, Lynwood, CA 90262",,,"REALLY NEED: baby wipes, baby oil, wash for babies, baby formula, LOTS of shopping bags (Updated 1/9/25 at 8:43PM)
NEED:
shelf-stable food, water, and essentials for distribution to shelters",,"If you can't make it to them, DM to coordinate pickup",Instagram
Marina del Rey,Animal Wellness Foundation,Animal Boarding,Contact for address,Pets,,Funds,,Former veterinary hospital in Marina del Rey offering shelter for evacuated animals. Email Annie at drannieawc@gmail.com. From Animal Wellness Foundation (www.animalwellnessfoundation.org) ,https://m.facebook.com/story.php?story_fbid=pfbid035gsoG7nCT8K8NbY6uwqv8smqqTRwViYR7c2XdkddG2DvSpvkJoGWJcCuafJGmHMYl&id=783169692&mibextid=Nif5oz
Miracle Mile,Feed Play Love,Animal Boarding,"5850 W 3rd St, Los Angeles, CA 90036",Pets,,,animal boarding,Reach out to them directly if you need temporary boarding for your pets. 323-440-4915,Instagram
Montebello,Montebello Barnyard Zoo,Animal Boarding,"600 Rea Drive, Montebello, CA 906040",Horses/farm animals,,,animal boarding,call 213 718 5442 to ask about housing horses/farm animals,Instagram
Montebello,Montebello Armenian Center,"Shelter, Information","410 Washington Blvd, Montebello, CA 90640",,,,,Call Jack at 323-216-1239 for more info,
Montrose,Crescenta Valley Armenian Community Center,"Information, Shelter","2633 Honolulu Ave, Montrose, CA 91020",,,,,Call Lucy at 818-590-5580,Instagram
Northridge,Northridge Park,Shelter,"10120 Reseda Blvd
Northridge, CA 91324",,,"NOT ACCEPTING DONATIONS 
(updated 01/09/25 5:45p)",,,Assembly Member Pilar Schiavo
Oxnard,Paw Works,Animal Boarding,Oxnard,Small animals,,,,Email brittany@pawworks.org or DM @pawworks on Instagram,Instagram
Pacoima,Evacuation Shelter - Ritchie Valens Recreation Center,Shelter,"10736 Laurel Canyon Blvd, 
Pacoima, CA 91331, USA",,,,,,Assembly Member Pilar Schiavo
Palmdale,Milo's Sanctuary,Animal Boarding,"550 W. Rancho Vista Blvd Ste D #106
Palmdale, California 93551",Large and small animals,,,,DM @milos_sanctuary on Instagram,Instagram
Panorama City,Sepulveda Recreation Center,Shelter,"8825 Kester Ave
Panorama City, CA 91402",,,,,,Assembly Member Pilar Schiavo
Pasadena,Friends in Deed Bad Weather Shelter,Shelter,"Trinity Lutheran Church
997 East Walnut Street 
Pasadena, CA 91106",,,,,"01.07-01.10 
Adults only 
Back of the church
Maximum 59 guests",Instagram
Pasadena,Pasadena Convention Center,Shelter,"300 E. Green Street, 
Pasadena, CA 91101",Pets on leash and in carriers ,,"No longer accepting donations 
(updated 1/9 2:25pm)",,"Also has masks and rapid tests, humane society on hand to help with pets too.  ",City of Pasadena Instagram 
Pasadena,St Sarkis Armenian Church,Shelter,"58 S Sierra Madre Blvd, Pasadena, CA 91107",,,"NEED: water, blankets, and ESPECIALLY high-quality masks (updated 1/9/25 1:54PM)",,Open 10am-4pm for drop-offs,
Pasadena,All Saints Church,Shelter,"132 N Euclid Avenue, Pasadena, CA 91101",,,,,,
Pasadena,My Pet Garden,Animal Boarding,"2245 East Colorado Blvd., Suite 106, Pasadena, CA, 91107",Cats and small/medium dogs,,NO LONGER NEED SUPPLIES (updated 1/9/25 at 2:26PM),,"Call or text (626) 319-1238 ""If you’ve had to evacuate and don’t have a place for your pets, call us and bring them in.
",
Pasadena,First Baptist Church,Shelter,"75 N Marengo Ave, Pasadena, CA 91101",,,,,,
Pasadena,Odyssey Games,"Free Items, Wifi/Charging",1795 E. Colorado Blvd. Passadena CA,,,,"snacks, water, electricity",Open 1/9/25 from 5:30-11:30PM; 1/10/25 and on: normal hours. Drinks and snacks free for evacuees. Updated 1/9/25 @ 1:37PM,Instagram
Los Angeles,Love Hour Los Angeles,Free Items,"532 S. Western Ave, Los Angeles, California 90020",,,"Accepting donations and dropoffs today and throughout the weekend. Looking for: water, canned food, blankets, hygiene products (Updated 12/9/25 12;35PM)","Open 5-10pm Thursday, 1/9/, providing free meals for fire fighters, first responders, and anyone affected by fires. (Updated 1/9/25 12:35PM)",DM @lovehourlosangeles if you're able to help,Instagram
Pasadena,Bike Oven,Distribution Hub,"3706 N Figueroa
Los Angeles, CA 90065",,Drivers for hot food distro ,"Basic hygiene and toiletries, N95 masks or respirators, pet food, power banks, batteries, blankets, sleeping bags. 
Push carts ",,Drop off location for supplies for those dealing with Eaton Fire,Instagram
Pasadena,Cresecnta Valley UMC,Wifi/Charging,"2700 Montrose Ave, La Crescenta-Montrose 91020",,,,power available for charging devices,"We have power available for charging devices.If you need help, please reach out to Janice or Pastor Kevin.213-290-3722",Instagram
Pasadena,The Harvest Academy,Free Items,,, Volunteering in their kitchen,Monetary donations via Paypal: info@theharvestacademyclub.org,,DM @theconciergekitchen on Instagram to get involved,
Pasadena,Pasadena Humane Society,"Animal Boarding, Distribution Hub","361 S. Raymond Avenue
Pasadena, CA 91105",,They do NOT need volunteers,Donations of water for pets (Updated 1/9/25 at 1:00PM),,"Need foster care, kennels are full. If you are able, come to the foster office",For donation and foster care information
Pasadena,Passadena Community Job Center,"Shelter, Free Items","500 N Lake Ave, Pasadena, CA 91101",,call the center for more inforamtion about volunteering or donating 626.440.0112,,"space to rest, masks, food, water, ",,Instagram
Pasadena,Agnes Restaurant & Cheesery,Shelter,"40 W Green St, Pasadena, CA 91105",,,,,"Thurs, 1/9, starting at 10 AM: serving as a shelter, providing boxed lunches, and a place to charge electronics.",
Remote,Satellite Fire Map,Information,"https://firms.modaps.eosdis.nasa.gov/usfs/map/#d:24hrs;@-115.6,33.8,7.7z",,,,,Do NOT use for evacuation information or to estimate risk.,
Remote,Latest Evacuation Map,Information,Protect Genasys,,,,,,Protect Genasys
Remote,Sign up for LA County Emergency Alerts,Information,LA County Emergency Alerts,,,,,,
